what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332693553030
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332693555068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693588390
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332693596686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693596811
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332693619757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693625449
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332693663616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693663716
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1332693667800
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332693668656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1332693669126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332693669512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693670163
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332693679287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693679365
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332693680051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693685167
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332693692206
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693692323
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332693697726
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693720718
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332693734001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693734086
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332693737070
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332693740106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693749405
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693764654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332693784054
